|          X           |          Y           |  ZX   |  NX   |  ZY   |  NY   |   F   |  NO   |         out          |  ZR   |  NG   |
|   0000000000001010   |   0000000000000100   |   1   |   0   |   1   |   0   |   1   |   0   |   0000000000000000   |   1   |   0   |
|   0000000000001010   |   0000000000000100   |   1   |   1   |   1   |   1   |   1   |   1   |   0000000000000001   |   0   |   0   |
|   0000000000001010   |   0000000000000100   |   1   |   1   |   1   |   0   |   1   |   0   |   1111111111111111   |   0   |   1   |
|   0000000000001010   |   0000000000000100   |   0   |   0   |   1   |   1   |   0   |   0   |   0000000000001010   |   0   |   0   |
|   0000000000001010   |   0000000000000100   |   1   |   1   |   0   |   0   |   0   |   0   |   0000000000000100   |   0   |   0   |
|   0000000000001010   |   0000000000000100   |   0   |   0   |   1   |   1   |   0   |   1   |   1111111111110101   |   0   |   1   |
|   0000000000001010   |   0000000000000100   |   1   |   1   |   0   |   0   |   0   |   1   |   1111111111111011   |   0   |   1   |
|   0000000000001010   |   0000000000000100   |   0   |   0   |   1   |   1   |   1   |   1   |   1111111111110110   |   0   |   1   |
|   0000000000001010   |   0000000000000100   |   1   |   1   |   0   |   0   |   1   |   1   |   1111111111111100   |   0   |   1   |
|   0000000000001010   |   0000000000000100   |   0   |   1   |   1   |   1   |   1   |   1   |   0000000000001011   |   0   |   0   |
|   0000000000001010   |   0000000000000100   |   1   |   1   |   0   |   1   |   1   |   1   |   0000000000000101   |   0   |   0   |
|   0000000000001010   |   0000000000000100   |   0   |   0   |   1   |   1   |   1   |   0   |   0000000000001001   |   0   |   0   |
|   0000000000001010   |   0000000000000100   |   1   |   1   |   0   |   0   |   1   |   0   |   0000000000000011   |   0   |   0   |
|   0000000000001010   |   0000000000000100   |   0   |   0   |   0   |   0   |   1   |   0   |   0000000000001110   |   0   |   0   |
|   0000000000001010   |   0000000000000100   |   0   |   1   |   0   |   0   |   1   |   1   |   0000000000000110   |   0   |   0   |
|   0000000000001010   |   0000000000000100   |   0   |   0   |   0   |   1   |   1   |   1   |   1111111111111010   |   0   |   1   |
|   0000000000001010   |   0000000000000100   |   0   |   0   |   0   |   0   |   0   |   0   |   0000000000000000   |   1   |   0   |
|   0000000000001010   |   0000000000000100   |   0   |   1   |   0   |   1   |   0   |   1   |   0000000000001110   |   0   |   0   |
|   0000000000001010   |   1111111111111100   |   1   |   0   |   1   |   0   |   1   |   0   |   0000000000000000   |   1   |   0   |
|   0000000000001010   |   1111111111111100   |   1   |   1   |   1   |   1   |   1   |   1   |   0000000000000001   |   0   |   0   |
|   0000000000001010   |   1111111111111100   |   1   |   1   |   1   |   0   |   1   |   0   |   1111111111111111   |   0   |   1   |
|   0000000000001010   |   1111111111111100   |   0   |   0   |   1   |   1   |   0   |   0   |   0000000000001010   |   0   |   0   |
|   0000000000001010   |   1111111111111100   |   1   |   1   |   0   |   0   |   0   |   0   |   1111111111111100   |   0   |   1   |
|   0000000000001010   |   1111111111111100   |   0   |   0   |   1   |   1   |   0   |   1   |   1111111111110101   |   0   |   1   |
|   0000000000001010   |   1111111111111100   |   1   |   1   |   0   |   0   |   0   |   1   |   0000000000000011   |   0   |   0   |
|   0000000000001010   |   1111111111111100   |   0   |   0   |   1   |   1   |   1   |   1   |   1111111111110110   |   0   |   1   |
|   0000000000001010   |   1111111111111100   |   1   |   1   |   0   |   0   |   1   |   1   |   0000000000000100   |   0   |   0   |
|   0000000000001010   |   1111111111111100   |   0   |   1   |   1   |   1   |   1   |   1   |   0000000000001011   |   0   |   0   |
|   0000000000001010   |   1111111111111100   |   1   |   1   |   0   |   1   |   1   |   1   |   1111111111111101   |   0   |   1   |
|   0000000000001010   |   1111111111111100   |   0   |   0   |   1   |   1   |   1   |   0   |   0000000000001001   |   0   |   0   |
|   0000000000001010   |   1111111111111100   |   1   |   1   |   0   |   0   |   1   |   0   |   1111111111111011   |   0   |   1   |
|   0000000000001010   |   1111111111111100   |   0   |   0   |   0   |   0   |   1   |   0   |   0000000000000110   |   0   |   0   |
|   0000000000001010   |   1111111111111100   |   0   |   1   |   0   |   0   |   1   |   1   |   0000000000001110   |   0   |   0   |
|   0000000000001010   |   1111111111111100   |   0   |   0   |   0   |   1   |   1   |   1   |   1111111111110010   |   0   |   1   |
|   0000000000001010   |   1111111111111100   |   0   |   0   |   0   |   0   |   0   |   0   |   0000000000001000   |   0   |   0   |
|   0000000000001010   |   1111111111111100   |   0   |   1   |   0   |   1   |   0   |   1   |   1111111111111110   |   0   |   1   |
